"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Aug-2020","EQ","947.50","948.65","933.60","947.40","938.60","938.10","940.65","986.45","509.25",6233923,"5,863,927,589.80",105761
"24-Aug-2020","EQ","947.00","952.00","939.20","948.80","948.55","947.40","946.24","986.45","509.25",5798579,"5,486,819,045.35",153799
"21-Aug-2020","EQ","963.05","963.45","946.55","955.15","949.80","948.80","951.89","986.45","509.25",6513784,"6,200,435,488.95",123340
"20-Aug-2020","EQ","958.90","965.50","951.30","959.30","951.80","955.15","957.55","986.45","509.25",5656667,"5,416,530,383.70",123695
"19-Aug-2020","EQ","970.90","971.55","957.45","967.55","960.00","959.30","963.05","986.45","509.25",6622744,"6,378,066,100.85",125391
"18-Aug-2020","EQ","963.90","969.20","958.70","957.50","967.10","967.55","964.28","986.45","509.25",6142171,"5,922,744,205.10",119041
"17-Aug-2020","EQ","954.10","972.45","954.10","953.60","958.30","957.50","962.38","986.45","509.25",9008716,"8,669,769,419.80",140270
"14-Aug-2020","EQ","955.85","963.00","952.05","951.20","954.50","953.60","957.20","986.45","509.25",4663873,"4,464,257,395.40",88402
"13-Aug-2020","EQ","954.80","968.50","948.25","954.95","952.30","951.20","956.51","986.45","509.25",5097705,"4,876,025,984.20",87144
"12-Aug-2020","EQ","948.00","958.80","942.20","948.45","952.85","954.95","950.21","986.45","509.25",6908732,"6,564,723,271.45",89286
"11-Aug-2020","EQ","949.90","962.00","946.10","951.35","950.50","948.45","953.42","986.45","509.25",6802508,"6,485,671,474.65",92778
"10-Aug-2020","EQ","948.90","956.80","945.30","950.90","950.55","951.35","952.75","986.45","509.25",5716472,"5,446,342,904.05",102663
"07-Aug-2020","EQ","969.45","969.45","949.00","970.85","951.65","950.90","955.24","986.45","509.25",8010973,"7,652,389,955.25",159251
"06-Aug-2020","EQ","953.50","974.40","942.50","944.70","972.00","970.85","962.12","986.45","509.25",10976523,"10,560,771,158.20",202937
"05-Aug-2020","EQ","952.00","960.95","938.30","949.85","944.50","944.70","947.70","986.45","509.25",9616176,"9,113,224,804.75",170591
"04-Aug-2020","EQ","960.45","970.70","940.55","956.90","952.00","949.85","949.99","986.45","509.25",11133259,"10,576,516,986.20",166839
"03-Aug-2020","EQ","960.00","965.40","947.45","966.00","955.30","956.90","954.94","986.45","509.25",8480166,"8,098,076,651.40",164566
"31-Jul-2020","EQ","969.25","986.45","953.30","961.45","967.75","966.00","971.12","986.45","509.25",12704359,"12,337,423,707.70",195979
"30-Jul-2020","EQ","962.00","972.65","958.75","954.15","962.15","961.45","965.59","972.65","509.25",12492569,"12,062,741,576.70",222807
"29-Jul-2020","EQ","953.25","960.00","943.60","962.85","951.95","954.15","952.22","967.55","509.25",11152710,"10,619,817,805.65",212215
"28-Jul-2020","EQ","946.00","967.55","941.20","948.45","960.60","962.85","953.58","967.55","509.25",15819466,"15,085,058,374.45",220010
"27-Jul-2020","EQ","921.55","952.80","918.65","922.85","947.15","948.45","939.16","955.50","509.25",16828218,"15,804,436,676.55",278528
"24-Jul-2020","EQ","903.25","925.75","903.25","907.95","921.20","922.85","915.28","955.50","509.25",18209670,"16,666,989,753.65",240036
"23-Jul-2020","EQ","915.65","915.80","900.65","917.90","911.25","907.95","907.32","955.50","509.25",13052804,"11,843,097,055.65",203420
"22-Jul-2020","EQ","938.95","939.00","910.00","936.75","919.25","917.90","921.44","955.50","509.25",14354421,"13,226,774,280.80",191180
"21-Jul-2020","EQ","945.00","949.70","929.20","934.30","937.35","936.75","937.15","955.50","509.25",12877814,"12,068,383,201.45",209340
"20-Jul-2020","EQ","908.50","945.00","906.75","903.15","942.95","934.30","921.63","955.50","509.25",18421083,"16,977,458,352.50",242092
"17-Jul-2020","EQ","911.00","919.90","892.15","911.00","905.65","903.15","903.73","955.50","509.25",31682904,"28,632,889,196.35",432265
"16-Jul-2020","EQ","900.10","955.50","894.25","830.95","910.00","911.00","920.45","955.50","509.25",90433393,"83,239,052,701.35",936612
"15-Jul-2020","EQ","799.00","848.45","794.80","783.25","833.95","830.95","828.95","848.45","509.25",30060998,"24,919,080,835.20",376383
"14-Jul-2020","EQ","792.95","806.40","781.35","797.05","784.95","783.25","794.38","847.00","509.25",8961822,"7,119,121,563.15",139180
"13-Jul-2020","EQ","788.00","805.35","786.05","781.85","796.10","797.05","797.65","847.00","509.25",10804911,"8,618,519,869.80",150013
"10-Jul-2020","EQ","773.50","789.90","773.50","781.70","779.90","781.85","782.38","847.00","509.25",5206452,"4,073,445,025.55",94276
"09-Jul-2020","EQ","780.00","790.00","775.00","774.70","782.05","781.70","781.17","847.00","509.25",6854196,"5,354,314,427.50",130712
"08-Jul-2020","EQ","784.90","784.90","772.20","794.15","774.50","774.70","778.55","847.00","509.25",8476675,"6,599,550,757.35",145325
"07-Jul-2020","EQ","769.40","796.95","765.55","764.00","789.90","794.15","785.79","847.00","509.25",19362666,"15,215,059,540.35",321825
"06-Jul-2020","EQ","765.20","775.00","761.50","762.70","764.40","764.00","768.11","847.00","509.25",8811009,"6,767,835,779.25",180660
"03-Jul-2020","EQ","755.00","764.00","752.50","756.60","762.15","762.70","759.35","847.00","509.25",7796573,"5,920,349,096.50",148320
"02-Jul-2020","EQ","737.35","765.45","735.40","731.90","756.00","756.60","756.33","847.00","509.25",17263764,"13,057,143,719.20",207044
"01-Jul-2020","EQ","737.25","742.30","729.75","735.95","730.85","731.90","736.05","847.00","509.25",5477687,"4,031,836,579.90",101474
"30-Jun-2020","EQ","732.80","738.95","724.25","731.75","733.70","735.95","733.74","847.00","509.25",10411347,"7,639,234,132.75",140340
"29-Jun-2020","EQ","735.40","744.70","730.10","748.20","731.40","731.75","735.05","847.00","509.25",8954490,"6,582,024,856.20",128524
"26-Jun-2020","EQ","710.20","751.60","710.00","700.50","747.00","748.20","740.04","847.00","509.25",26030535,"19,263,536,479.45",378564
"25-Jun-2020","EQ","704.85","705.60","693.50","714.15","700.70","700.50","700.31","847.00","509.25",14945304,"10,466,323,460.00",214685
"24-Jun-2020","EQ","716.90","726.80","709.40","720.65","715.25","714.15","717.48","847.00","509.25",10220908,"7,333,276,139.65",147819
"23-Jun-2020","EQ","695.70","724.50","692.10","703.70","720.00","720.65","713.34","847.00","509.25",12157486,"8,672,464,910.20",203759
"22-Jun-2020","EQ","707.10","708.70","700.00","705.55","703.45","703.70","702.88","847.00","509.25",7804139,"5,485,377,026.20",145862
"19-Jun-2020","EQ","709.00","711.90","701.00","713.90","708.15","705.55","704.87","847.00","509.25",22438873,"15,816,432,219.65",266933
"18-Jun-2020","EQ","708.20","716.60","706.00","703.65","713.40","713.90","711.84","847.00","509.25",6670206,"4,748,091,716.40",174646
"17-Jun-2020","EQ","699.90","710.30","698.00","701.20","704.60","703.65","705.40","847.00","509.25",7291919,"5,143,752,646.30",136959
"16-Jun-2020","EQ","702.00","712.00","699.15","687.55","700.00","701.20","705.08","847.00","509.25",10132423,"7,144,207,775.05",170413
"15-Jun-2020","EQ","693.00","704.40","685.25","692.05","688.05","687.55","692.55","847.00","509.25",7857344,"5,441,612,326.85",105262
"12-Jun-2020","EQ","675.80","695.15","675.50","703.95","691.00","692.05","686.35","847.00","509.25",9796064,"6,723,519,557.80",165667
"11-Jun-2020","EQ","712.00","713.40","700.25","715.85","703.80","703.95","707.70","847.00","509.25",8825914,"6,246,123,985.50",140529
"10-Jun-2020","EQ","715.00","719.45","709.20","717.60","714.95","715.85","715.57","847.00","509.25",7263272,"5,197,377,191.25",121854
"09-Jun-2020","EQ","720.00","729.60","715.05","720.85","715.05","717.60","721.62","847.00","509.25",10078863,"7,273,061,785.45",173628
"08-Jun-2020","EQ","707.65","725.80","704.00","703.55","722.05","720.85","718.75","847.00","509.25",10719124,"7,704,389,372.55",180849
"05-Jun-2020","EQ","707.00","711.70","700.60","707.75","704.75","703.55","705.80","847.00","509.25",7718943,"5,448,030,851.95",124734
"04-Jun-2020","EQ","702.00","709.45","697.50","701.55","707.05","707.75","704.17","847.00","509.25",10783594,"7,593,495,551.30",134508
"03-Jun-2020","EQ","710.70","711.90","696.00","708.10","702.85","701.55","702.71","847.00","509.25",11378568,"7,995,869,972.15",179242
"02-Jun-2020","EQ","700.50","711.65","697.55","699.55","708.20","708.10","706.32","847.00","509.25",7059409,"4,986,183,795.25",123937
"01-Jun-2020","EQ","698.75","706.65","691.50","691.00","699.55","699.55","700.27","847.00","509.25",12276649,"8,596,981,339.80",166839
"29-May-2020","EQ","692.50","700.80","674.95","707.40","692.00","691.00","690.78","847.00","509.25",28291172,"19,543,032,832.05",241793
"28-May-2020","EQ","707.00","710.00","690.00","705.45","706.00","707.40","699.96","847.00","509.25",9440121,"6,607,699,864.30",141590
"27-May-2020","EQ","686.05","709.20","675.00","680.55","706.20","705.45","693.83","847.00","509.25",8774694,"6,088,143,746.40",155415
"26-May-2020","EQ","693.00","699.45","679.00","692.35","681.30","680.55","689.51","847.00","509.25",7099719,"4,895,318,483.95",122600
"22-May-2020","EQ","675.00","695.85","673.50","672.20","692.00","692.35","688.38","847.00","509.25",11867864,"8,169,629,532.35",201776
"21-May-2020","EQ","666.50","679.45","665.40","669.55","673.00","672.20","672.37","847.00","509.25",7214401,"4,850,780,460.30",122009
"20-May-2020","EQ","668.50","673.00","659.65","668.60","666.00","669.55","666.46","847.00","509.25",5795193,"3,862,248,243.90",104746
"19-May-2020","EQ","664.00","674.80","655.00","663.90","670.00","668.60","668.12","847.00","509.25",5902238,"3,943,378,544.20",121850
"18-May-2020","EQ","659.85","670.55","653.00","652.30","659.60","663.90","663.53","847.00","509.25",10435495,"6,924,280,885.05",160262
"15-May-2020","EQ","664.80","664.80","646.70","658.15","652.30","652.30","652.46","847.00","509.25",9255353,"6,038,757,599.40",159733
"14-May-2020","EQ","659.00","671.75","652.60","694.15","658.20","658.15","662.77","847.00","509.25",16888356,"11,193,113,875.85",284577
"13-May-2020","EQ","694.80","699.90","683.75","687.65","693.75","694.15","693.94","847.00","509.25",8287106,"5,750,758,216.45",156513
"12-May-2020","EQ","678.50","691.00","675.50","682.90","687.00","687.65","684.84","847.00","509.25",7356063,"5,037,715,533.35",165655
"11-May-2020","EQ","682.50","698.55","678.00","674.20","683.75","682.90","688.95","847.00","509.25",7370192,"5,077,673,283.60",157658
"08-May-2020","EQ","672.25","680.90","668.50","664.95","676.00","674.20","674.96","847.00","509.25",8400376,"5,669,937,480.30",206669
"07-May-2020","EQ","665.55","674.35","662.45","665.90","666.70","664.95","668.79","847.00","509.25",4779550,"3,196,499,216.80",93851
"06-May-2020","EQ","676.90","681.45","664.05","673.70","667.00","665.90","671.02","847.00","509.25",7934457,"5,324,157,713.35",211094
"05-May-2020","EQ","681.75","685.60","670.00","673.70","674.50","673.70","679.28","847.00","509.25",6393108,"4,342,730,627.00",132076
"04-May-2020","EQ","689.80","701.20","670.35","715.50","675.15","673.70","686.15","847.00","509.25",9122803,"6,259,591,492.80",177978
"30-Apr-2020","EQ","700.00","720.00","698.10","676.55","715.05","715.50","711.47","847.00","509.25",16254036,"11,564,226,725.75",277142
"29-Apr-2020","EQ","666.00","682.00","658.00","660.70","678.00","676.55","671.94","847.00","509.25",8639246,"5,805,084,866.05",175742
"28-Apr-2020","EQ","673.00","677.00","653.05","664.60","664.05","660.70","659.88","847.00","509.25",7296594,"4,814,874,278.60",128788
"27-Apr-2020","EQ","661.05","681.00","661.05","658.00","665.10","664.60","670.63","847.00","509.25",7183316,"4,817,370,467.65",143869
"24-Apr-2020","EQ","668.55","675.00","654.80","679.30","660.95","658.00","662.50","847.00","509.25",7319950,"4,849,470,612.45",162251
"23-Apr-2020","EQ","647.05","683.65","638.10","641.85","675.00","679.30","665.09","847.00","509.25",14451294,"9,611,440,870.60",225884
"22-Apr-2020","EQ","633.20","645.00","628.05","633.20","641.50","641.85","639.85","847.00","509.25",8267159,"5,289,759,466.35",148917
"21-Apr-2020","EQ","627.80","646.50","627.80","653.30","633.00","633.20","638.34","847.00","509.25",11660678,"7,443,524,923.00",195803
"20-Apr-2020","EQ","640.00","661.00","639.00","628.75","650.95","653.30","653.71","847.00","509.25",13322995,"8,709,344,590.30",220363
"17-Apr-2020","EQ","644.00","646.00","626.00","623.85","634.20","628.75","633.50","847.00","509.25",8878372,"5,624,422,628.20",220448
"16-Apr-2020","EQ","619.95","634.90","603.50","639.05","626.90","623.85","620.50","847.00","509.25",17783310,"11,034,508,894.50",254606
"15-Apr-2020","EQ","651.40","653.30","635.60","637.40","640.00","639.05","645.85","847.00","509.25",11963493,"7,726,657,236.85",278339
"13-Apr-2020","EQ","629.00","651.70","626.05","636.25","637.00","637.40","641.21","847.00","509.25",8330291,"5,341,425,789.00",232090
"09-Apr-2020","EQ","646.80","652.80","632.10","631.60","635.60","636.25","640.28","847.00","509.25",11931287,"7,639,338,597.25",232901
"08-Apr-2020","EQ","630.00","655.65","626.35","639.00","632.25","631.60","637.44","847.00","509.25",11806901,"7,526,162,135.55",235881
"07-Apr-2020","EQ","615.00","644.25","612.90","585.70","633.80","639.00","627.65","847.00","509.25",15146526,"9,506,714,566.30",260480
"03-Apr-2020","EQ","603.50","606.00","582.15","602.80","588.50","585.70","592.53","847.00","509.25",10221890,"6,056,725,607.95",261228
"01-Apr-2020","EQ","634.35","637.50","594.00","641.50","603.90","602.80","611.89","847.00","509.25",13083865,"8,005,888,360.85",379235
"31-Mar-2020","EQ","650.00","662.00","633.70","626.70","639.60","641.50","647.80","847.00","509.25",15175528,"9,830,768,498.10",279311
"30-Mar-2020","EQ","625.10","663.50","621.10","652.70","623.80","626.70","638.82","847.00","509.25",14625720,"9,343,228,363.50",230047
"27-Mar-2020","EQ","665.05","674.90","642.25","643.00","655.00","652.70","653.79","847.00","509.25",13495469,"8,823,242,465.25",262091
"26-Mar-2020","EQ","615.00","650.85","612.10","606.20","640.00","643.00","638.74","847.00","509.25",14868843,"9,497,347,855.35",291975
"25-Mar-2020","EQ","597.00","635.00","565.70","589.80","607.00","606.20","596.75","847.00","509.25",18339650,"10,944,193,384.35",429544
"24-Mar-2020","EQ","522.00","601.15","522.00","526.45","600.00","589.80","572.73","847.00","509.25",20029537,"11,471,457,437.10",434375
"23-Mar-2020","EQ","540.00","560.95","515.90","585.20","529.15","526.45","531.33","847.00","509.25",17146303,"9,110,393,752.80",258952
"20-Mar-2020","EQ","549.50","617.45","548.00","545.55","580.90","585.20","585.10","847.00","509.25",21356183,"12,495,510,370.85",407561
"19-Mar-2020","EQ","509.25","558.00","509.25","534.30","551.80","545.55","540.83","847.00","509.25",16584106,"8,969,244,995.00",313532
"18-Mar-2020","EQ","568.00","578.00","528.00","554.95","531.70","534.30","552.92","847.00","528.00",15391568,"8,510,344,347.20",235885
"17-Mar-2020","EQ","588.10","592.00","550.00","583.15","560.00","554.95","571.99","847.00","550.00",16060126,"9,186,285,698.00",359329
"16-Mar-2020","EQ","622.00","622.15","580.00","642.35","583.20","583.15","597.37","847.00","570.00",19140854,"11,434,179,964.35",462293
"13-Mar-2020","EQ","592.00","667.00","570.00","631.20","652.15","642.35","629.00","847.00","570.00",16903140,"10,632,077,962.50",286353
"12-Mar-2020","EQ","668.00","670.00","627.50","686.00","631.00","631.20","644.47","847.00","615.10",13965689,"9,000,417,645.15",265786
"11-Mar-2020","EQ","690.65","695.95","669.05","704.45","682.15","686.00","685.87","847.00","615.10",16165054,"11,087,131,348.55",233010
"09-Mar-2020","EQ","724.50","725.85","697.00","738.95","706.40","704.45","705.63","847.00","615.10",10308697,"7,274,162,430.10",180848
"06-Mar-2020","EQ","741.00","744.00","729.10","754.60","739.00","738.95","738.53","847.00","615.10",9216022,"6,806,310,521.15",147517
"05-Mar-2020","EQ","763.75","773.55","751.75","758.75","754.15","754.60","763.70","847.00","615.10",7755293,"5,922,737,656.50",124093
"04-Mar-2020","EQ","753.90","761.50","745.55","747.00","758.00","758.75","753.23","847.00","615.10",11013444,"8,295,623,046.90",155822
"03-Mar-2020","EQ","755.00","759.00","741.25","741.05","751.00","747.00","749.09","847.00","615.10",7826587,"5,862,836,380.75",136066
"02-Mar-2020","EQ","737.00","765.90","733.75","731.70","739.40","741.05","750.99","847.00","615.10",9821523,"7,375,861,532.00",155968
"28-Feb-2020","EQ","750.00","756.80","722.05","777.85","732.00","731.70","738.68","847.00","615.10",14123957,"10,433,101,671.40",277778
"27-Feb-2020","EQ","778.00","780.75","772.20","782.75","776.55","777.85","777.16","847.00","615.10",5223386,"4,059,425,154.50",100716
"26-Feb-2020","EQ","793.95","801.45","780.50","798.40","782.25","782.75","791.65","847.00","615.10",8760569,"6,935,314,353.15",168481
