"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Feb-2020","EQ","799.00","806.00","795.40","795.85","799.50","798.40","799.93","847.00","615.10",6996695,"5,596,900,401.25",114637
"24-Feb-2020","EQ","800.10","811.60","792.15","797.00","795.90","795.85","804.05","847.00","615.10",6627536,"5,328,879,149.90",130286
"20-Feb-2020","EQ","803.25","806.10","793.85","800.45","796.80","797.00","800.74","847.00","615.10",4564569,"3,655,039,598.50",94252
"19-Feb-2020","EQ","800.00","804.85","796.15","797.65","800.40","800.45","799.62","847.00","615.10",3985192,"3,186,637,946.20",79345
"18-Feb-2020","EQ","785.00","799.05","783.65","789.45","798.50","797.65","793.27","847.00","615.10",5083346,"4,032,462,343.75",103674
"17-Feb-2020","EQ","790.30","793.45","783.30","786.45","788.85","789.45","789.21","847.00","615.10",2929629,"2,312,085,827.25",69780
"14-Feb-2020","EQ","794.50","799.20","784.60","792.25","786.30","786.45","791.78","847.00","615.10",5321680,"4,213,573,742.60",103460
"13-Feb-2020","EQ","785.00","794.00","782.20","781.05","792.50","792.25","787.51","847.00","615.10",4387430,"3,455,129,906.00",80876
"12-Feb-2020","EQ","775.80","783.25","775.10","773.55","780.80","781.05","780.73","847.00","615.10",2948825,"2,302,228,797.45",80507
"11-Feb-2020","EQ","779.00","779.10","769.20","773.20","775.00","773.55","773.48","847.00","615.10",4312817,"3,335,859,222.95",83764
"10-Feb-2020","EQ","774.00","778.00","769.75","777.30","773.00","773.20","772.86","847.00","615.10",3827682,"2,958,264,287.05",50917
"07-Feb-2020","EQ","775.95","778.85","771.00","771.35","776.00","777.30","775.80","847.00","615.10",2853344,"2,213,620,887.90",53815
"06-Feb-2020","EQ","784.35","786.80","770.00","784.55","772.00","771.35","775.78","847.00","615.10",7341622,"5,695,512,989.35",133662
"05-Feb-2020","EQ","781.00","786.00","774.40","787.85","784.50","784.55","779.33","847.00","615.10",6310409,"4,917,872,804.05",142904
"04-Feb-2020","EQ","770.10","789.90","770.10","767.40","788.10","787.85","781.11","847.00","615.10",5771311,"4,508,019,532.10",126688
"03-Feb-2020","EQ","782.00","790.95","764.50","779.50","767.10","767.40","771.38","847.00","615.10",6416745,"4,949,738,299.40",132708
"01-Feb-2020","EQ","775.10","791.25","769.25","775.95","777.00","779.50","779.56","847.00","615.10",5104062,"3,978,923,966.60",105374
"31-Jan-2020","EQ","780.55","784.95","771.60","780.70","777.70","775.95","776.84","847.00","615.10",6092028,"4,732,547,586.75",72176
"30-Jan-2020","EQ","789.70","789.70","778.00","789.70","780.60","780.70","781.35","847.00","615.10",3859680,"3,015,775,801.15",98962
"29-Jan-2020","EQ","786.60","792.80","784.25","778.00","790.00","789.70","787.87","847.00","615.10",6832757,"5,383,335,132.00",83287
"28-Jan-2020","EQ","781.00","781.80","772.00","778.10","778.00","778.00","775.99","847.00","615.10",5121009,"3,973,833,551.80",108248
"27-Jan-2020","EQ","779.05","784.80","774.40","782.75","778.05","778.10","778.05","847.00","615.10",3741610,"2,911,159,552.35",102550
"24-Jan-2020","EQ","775.75","786.50","773.60","784.35","783.00","782.75","779.20","847.00","615.10",7540490,"5,875,559,436.25",131263
"23-Jan-2020","EQ","777.10","785.50","776.70","770.20","782.35","784.35","781.01","847.00","615.10",12528017,"9,784,566,374.55",197205
"22-Jan-2020","EQ","768.45","778.00","766.00","762.50","769.80","770.20","771.58","847.00","615.10",9733935,"7,510,499,147.55",148501
"21-Jan-2020","EQ","768.45","770.50","760.75","768.45","761.15","762.50","764.09","847.00","615.10",4448374,"3,398,977,857.25",83703
"20-Jan-2020","EQ","771.60","774.40","762.95","767.85","768.85","768.45","767.06","847.00","615.10",3887680,"2,982,074,923.85",81096
"17-Jan-2020","EQ","770.70","772.90","762.25","767.00","767.45","767.85","766.35","847.00","615.10",3762957,"2,883,743,849.90",98313
"16-Jan-2020","EQ","770.70","772.50","760.25","767.55","767.20","767.00","766.35","847.00","615.10",5740586,"4,399,309,408.85",93520
"15-Jan-2020","EQ","773.85","773.85","762.15","775.65","766.30","767.55","766.99","847.00","615.10",6047430,"4,638,298,219.05",96319
"14-Jan-2020","EQ","769.95","776.95","767.20","773.55","775.50","775.65","772.12","847.00","615.10",11414418,"8,813,264,899.15",289583
"13-Jan-2020","EQ","760.00","777.50","755.00","738.15","772.50","773.55","769.14","847.00","615.10",36952038,"28,421,129,304.65",753340
"10-Jan-2020","EQ","740.45","742.90","730.50","727.55","740.00","738.15","737.69","847.00","615.10",9341405,"6,891,078,451.30",145267
"09-Jan-2020","EQ","721.70","731.50","714.30","718.20","727.60","727.55","724.60","847.00","615.10",13521186,"9,797,455,291.55",161064
"08-Jan-2020","EQ","724.95","729.00","708.30","727.90","718.90","718.20","717.84","847.00","615.10",8639443,"6,201,707,522.40",232857
"07-Jan-2020","EQ","738.00","742.60","725.10","738.85","729.30","727.90","734.63","847.00","615.10",7899363,"5,803,119,824.55",189680
"06-Jan-2020","EQ","746.10","753.80","736.50","746.00","738.50","738.85","743.51","847.00","615.10",6519403,"4,847,236,982.15",129992
"03-Jan-2020","EQ","733.90","748.00","733.90","734.70","745.00","746.00","744.67","847.00","615.10",7882938,"5,870,173,302.35",105632
"02-Jan-2020","EQ","738.90","740.80","730.90","736.85","735.75","734.70","735.22","847.00","615.10",5658200,"4,160,025,335.75",102483
"01-Jan-2020","EQ","735.00","740.00","732.55","731.15","739.35","736.85","735.35","847.00","615.10",2112415,"1,553,368,748.80",36769
"31-Dec-2019","EQ","729.70","737.75","725.45","732.90","732.00","731.15","732.75","847.00","615.10",6927885,"5,076,419,897.30",156522
"30-Dec-2019","EQ","736.10","737.95","727.25","736.95","732.50","732.90","732.53","847.00","615.10",5368416,"3,932,522,164.05",115398
"27-Dec-2019","EQ","729.75","737.50","728.85","728.95","736.55","736.95","734.36","847.00","615.10",3399094,"2,496,171,888.65",65467
"26-Dec-2019","EQ","732.00","734.55","726.55","733.40","729.50","728.95","730.42","847.00","615.10",3821806,"2,791,528,460.65",48763
"24-Dec-2019","EQ","736.95","736.95","728.30","736.00","734.25","733.40","732.75","847.00","615.10",2890759,"2,118,192,660.85",50306
"23-Dec-2019","EQ","732.15","737.30","731.65","731.55","735.95","736.00","734.61","847.00","615.10",4975608,"3,655,128,113.45",80052
"20-Dec-2019","EQ","731.00","735.00","728.25","730.85","730.00","731.55","731.45","847.00","615.10",7794167,"5,701,077,059.75",131404
"19-Dec-2019","EQ","733.50","735.95","724.60","732.45","732.00","730.85","729.59","847.00","615.10",7199210,"5,252,474,994.35",165219
"18-Dec-2019","EQ","731.00","737.30","722.75","729.70","733.40","732.45","732.13","847.00","615.10",12215295,"8,943,242,214.25",210673
"17-Dec-2019","EQ","719.70","731.25","715.00","714.00","730.50","729.70","726.51","847.00","615.10",10525565,"7,646,917,889.85",193372
"16-Dec-2019","EQ","712.30","720.20","710.20","711.30","714.25","714.00","715.89","847.00","615.10",5616324,"4,020,694,131.10",116838
"13-Dec-2019","EQ","700.35","712.90","700.35","702.10","711.50","711.30","708.50","847.00","615.10",10302412,"7,299,214,569.75",132030
"12-Dec-2019","EQ","718.50","720.70","699.55","721.05","702.10","702.10","706.03","847.00","615.10",11112042,"7,845,417,394.45",163350
"11-Dec-2019","EQ","716.60","722.70","713.00","714.55","720.00","721.05","718.49","847.00","615.10",6043554,"4,342,244,980.80",125702
"10-Dec-2019","EQ","713.00","718.50","710.00","717.25","713.45","714.55","715.42","847.00","615.10",4457939,"3,189,284,687.65",81372
"09-Dec-2019","EQ","716.00","722.35","714.25","715.10","716.05","717.25","718.66","847.00","615.10",6435865,"4,625,177,252.05",114112
"06-Dec-2019","EQ","715.95","720.00","709.60","714.85","714.50","715.10","715.43","847.00","615.10",5226096,"3,738,886,364.80",79319
"05-Dec-2019","EQ","706.45","715.90","703.80","708.85","714.10","714.85","712.06","847.00","615.10",4814422,"3,428,139,267.65",76989
"04-Dec-2019","EQ","697.00","710.50","693.35","698.35","708.25","708.85","706.09","847.00","615.10",7427886,"5,244,767,944.90",169304
"03-Dec-2019","EQ","692.70","699.70","688.55","692.70","699.00","698.35","696.23","847.00","615.10",5239013,"3,647,553,741.70",84499
"02-Dec-2019","EQ","703.10","704.00","690.30","696.35","692.75","692.70","693.51","847.00","615.10",9383736,"6,507,684,351.30",102880
"29-Nov-2019","EQ","700.90","702.30","691.55","701.85","695.80","696.35","695.72","847.00","599.85",4262379,"2,965,402,318.65",110226
"28-Nov-2019","EQ","699.10","703.35","694.05","695.75","701.45","701.85","698.53","847.00","599.85",4837683,"3,379,270,403.10",84619
"27-Nov-2019","EQ","694.25","697.65","690.10","690.60","696.15","695.75","694.39","847.00","599.85",3861635,"2,681,478,170.25",64039
"26-Nov-2019","EQ","705.00","707.25","686.00","698.10","692.60","690.60","693.08","847.00","599.85",27253106,"18,888,701,555.80",163058
"25-Nov-2019","EQ","693.35","705.15","693.20","693.20","699.00","698.10","698.13","847.00","599.85",7334511,"5,120,436,170.30",109264
"22-Nov-2019","EQ","711.75","712.00","685.10","713.25","692.95","693.20","693.38","847.00","599.85",14415826,"9,995,652,431.05",223156
"21-Nov-2019","EQ","715.50","721.45","710.50","713.00","712.15","713.25","714.88","847.00","599.85",9692973,"6,929,352,718.45",127699
"20-Nov-2019","EQ","712.80","715.00","705.00","712.85","713.00","713.00","710.95","847.00","599.85",6142171,"4,366,791,187.10",87462
"19-Nov-2019","EQ","709.90","714.00","705.00","705.20","712.80","712.85","710.87","847.00","599.85",6495885,"4,617,726,813.95",127941
"18-Nov-2019","EQ","705.00","710.00","699.30","703.90","709.90","705.20","703.53","847.00","599.85",7490916,"5,270,093,825.70",140015
"15-Nov-2019","EQ","709.05","712.95","702.30","705.30","704.60","703.90","705.52","847.00","599.85",7362623,"5,194,471,562.05",122419
"14-Nov-2019","EQ","696.35","709.80","696.35","691.35","705.05","705.30","705.92","847.00","599.85",10539902,"7,440,318,352.30",172258
"13-Nov-2019","EQ","696.50","700.00","687.75","704.40","691.45","691.35","695.08","847.00","599.85",9973690,"6,932,539,254.05",182739
"11-Nov-2019","EQ","698.90","707.20","698.00","708.15","703.10","704.40","703.64","847.00","599.85",6951494,"4,891,336,200.20",118370
"08-Nov-2019","EQ","722.00","724.25","705.50","720.10","708.30","708.15","716.33","847.00","599.85",8585630,"6,150,137,780.35",114589
"07-Nov-2019","EQ","717.00","724.35","712.10","712.30","720.25","720.10","718.75","847.00","599.85",13733737,"9,871,154,252.90",205054
"06-Nov-2019","EQ","695.80","721.50","692.00","696.10","712.50","712.30","710.66","847.00","599.85",21372589,"15,188,685,234.35",344247
"05-Nov-2019","EQ","708.75","708.75","691.50","709.00","695.05","696.10","699.32","847.00","599.85",12897805,"9,019,750,145.40",204502
"04-Nov-2019","EQ","681.80","732.50","678.15","687.90","710.10","709.00","714.20","847.00","599.85",29381982,"20,984,607,124.25",384467
"01-Nov-2019","EQ","690.00","694.00","682.60","685.60","688.90","687.90","688.47","847.00","599.85",9713519,"6,687,468,933.40",181647
"31-Oct-2019","EQ","668.40","695.45","666.10","660.60","687.00","685.60","685.39","847.00","599.85",27405901,"18,783,689,651.60",424958
"30-Oct-2019","EQ","660.40","671.40","656.20","650.65","662.25","660.60","664.01","847.00","599.85",22879467,"15,192,276,718.45",319118
"29-Oct-2019","EQ","651.00","653.75","647.00","648.85","650.90","650.65","650.33","847.00","599.85",16709764,"10,866,929,874.75",309792
"27-Oct-2019","EQ","651.10","652.50","645.55","637.45","649.95","648.85","648.43","847.00","599.85",2945433,"1,909,914,669.20",67356
"25-Oct-2019","EQ","647.00","652.50","636.00","635.35","637.10","637.45","643.66","847.00","599.85",16549337,"10,652,215,420.25",327171
"24-Oct-2019","EQ","650.00","653.20","632.00","650.60","634.70","635.35","643.72","847.00","599.85",25666433,"16,521,876,122.75",393942
"23-Oct-2019","EQ","630.00","656.65","615.10","643.55","650.35","650.60","643.94","847.00","599.85",60516887,"38,969,147,748.65",1059289
"22-Oct-2019","EQ","691.10","691.10","638.35","767.85","640.00","643.55","658.16","847.00","599.85",90152532,"59,334,453,056.60",1643015
"18-Oct-2019","EQ","763.80","773.80","760.00","769.50","767.50","767.85","767.62","847.00","599.85",10037200,"7,704,758,992.10",187743
"17-Oct-2019","EQ","767.00","770.55","765.10","771.45","769.40","769.50","768.53","847.00","599.85",9860495,"7,578,123,003.70",202471
"16-Oct-2019","EQ","765.25","775.95","761.55","768.30","771.00","771.45","770.12","847.00","599.85",10767032,"8,291,883,880.80",258065
"15-Oct-2019","EQ","773.10","775.95","765.00","786.10","769.00","768.30","769.68","847.00","599.85",13762133,"10,592,375,902.55",298596
"14-Oct-2019","EQ","786.75","797.00","780.00","814.80","786.30","786.10","789.64","847.00","599.85",15150858,"11,963,746,229.55",308844
"11-Oct-2019","EQ","781.50","823.80","776.60","783.05","815.00","814.80","807.01","847.00","599.85",20636344,"16,653,757,511.40",318660
"10-Oct-2019","EQ","785.40","794.70","776.60","783.65","782.50","783.05","786.97","847.00","599.85",10402917,"8,186,820,531.95",123048
"09-Oct-2019","EQ","795.45","795.90","778.80","789.55","783.75","783.65","783.69","847.00","599.85",6335025,"4,964,668,557.95",148580
"07-Oct-2019","EQ","794.85","802.00","786.10","793.45","788.80","789.55","791.09","847.00","599.85",3679845,"2,911,078,094.65",118304
"04-Oct-2019","EQ","790.00","797.60","787.05","785.60","792.30","793.45","794.32","847.00","599.85",8201713,"6,514,820,230.85",114239
"03-Oct-2019","EQ","792.55","797.85","784.15","793.55","786.40","785.60","791.93","847.00","599.85",5497672,"4,353,793,069.65",166567
"01-Oct-2019","EQ","807.00","807.55","791.55","805.65","794.95","793.55","796.66","847.00","599.85",5881438,"4,685,487,403.15",172253
"30-Sep-2019","EQ","785.10","808.00","784.15","782.20","804.20","805.65","801.63","847.00","599.85",8178091,"6,555,812,642.85",156000
"27-Sep-2019","EQ","787.05","794.25","780.10","782.55","782.20","782.20","785.46","847.00","599.85",5087642,"3,996,126,504.85",161432
"26-Sep-2019","EQ","787.75","797.00","778.10","792.65","784.60","782.55","783.93","847.00","599.85",18442824,"14,457,802,893.35",178651
"25-Sep-2019","EQ","787.70","801.00","781.65","794.05","790.75","792.65","793.69","847.00","599.85",9313576,"7,392,081,925.45",257048
"24-Sep-2019","EQ","765.00","798.65","765.00","764.35","794.00","794.05","785.94","847.00","599.85",13717998,"10,781,580,307.60",236139
"23-Sep-2019","EQ","806.90","806.90","741.90","805.00","765.00","764.35","770.66","847.00","599.85",17279260,"13,316,370,233.10",423674
"20-Sep-2019","EQ","822.90","835.00","802.00","820.70","807.30","805.00","811.86","847.00","599.85",22462366,"18,236,400,807.25",277034
"19-Sep-2019","EQ","824.85","827.00","815.20","829.85","820.30","820.70","820.99","847.00","599.85",6601607,"5,419,828,832.75",120499
"18-Sep-2019","EQ","829.90","832.95","824.00","831.25","831.45","829.85","828.68","847.00","599.85",3199389,"2,651,273,644.15",115862
"17-Sep-2019","EQ","831.50","835.00","820.55","827.70","832.35","831.25","827.54","847.00","599.85",5540901,"4,585,299,188.00",135783
"16-Sep-2019","EQ","832.05","837.95","820.55","829.30","827.60","827.70","827.38","847.00","599.85",4846496,"4,009,906,892.00",137629
"13-Sep-2019","EQ","818.10","831.05","817.50","816.40","829.80","829.30","824.18","847.00","599.85",4832021,"3,982,478,489.30",93586
"12-Sep-2019","EQ","816.40","819.85","810.85","820.10","817.60","816.40","816.08","847.00","599.85",4400017,"3,590,752,489.80",110552
"11-Sep-2019","EQ","822.30","828.55","814.15","829.10","822.10","820.10","818.82","847.00","599.85",7981036,"6,535,045,005.95",162235
"09-Sep-2019","EQ","836.80","840.30","827.55","840.15","830.00","829.10","830.92","847.00","599.85",4377870,"3,637,654,796.40",122479
"06-Sep-2019","EQ","843.30","847.00","835.05","834.05","840.25","840.15","840.49","1,467.90","599.85",6106841,"5,132,762,932.40",171032
"05-Sep-2019","EQ","830.10","837.50","826.65","821.30","835.10","834.05","833.00","1,467.90","599.85",7926895,"6,603,073,399.30",242554
"04-Sep-2019","EQ","810.75","822.45","810.25","814.25","819.90","821.30","818.11","1,467.90","599.85",6199015,"5,071,479,097.25",124357
"03-Sep-2019","EQ","815.00","822.40","812.05","814.90","812.75","814.25","816.96","1,467.90","599.85",5647088,"4,613,455,969.85",109072
"30-Aug-2019","EQ","810.00","817.35","802.00","806.95","814.75","814.90","809.24","1,467.90","599.85",8174186,"6,614,876,749.25",144388
"29-Aug-2019","EQ","795.50","809.70","795.50","802.50","808.30","806.95","805.11","1,467.90","599.85",7830413,"6,304,378,192.25",117244
"28-Aug-2019","EQ","787.40","805.00","786.30","784.65","803.50","802.50","796.96","1,467.90","599.85",5881134,"4,687,024,730.60",113678
"27-Aug-2019","EQ","791.00","794.95","781.10","802.55","785.50","784.65","785.23","1,467.90","599.85",16061642,"12,612,131,007.40",242098
"26-Aug-2019","EQ","795.90","806.80","786.90","802.20","804.30","802.55","799.09","1,467.90","599.85",5412074,"4,324,723,248.25",141654